XYDATA,PA,PLC,PC,PE,PET,PP,PS,PVC,Type A  BoxCD02 (PE),Type B  BoxAB10 (PE),Type C  BoxBC07 (PE),Type D BoxBA09 (PE),Type Z Box A B01 (un),Type B Box A B08 (PP),Type B Box A D04 (PP),Type A Box A D08 (PP),Type C Box B G06 (PS),"(1,1)"
2143.4197,1794.03,508.405,540.891,500.694,849.635,505.905,598.25,527.37,603.15,1067.16,519.91,531.532,814.425,2818.9,814.003,850.984,618.973,0.923222465
2144.4197,1791.81,508.448,540.176,500.195,849.178,504.892,597.02,528.081,604.069,1064.96,518.683,530.281,813.699,2818.82,811.937,852.514,618.942,-0.604055682
2145.4197,1789.95,508.629,539.551,499.738,849.264,503.661,596.18,528.895,604.66,1063.19,517.761,529.241,813.067,2817.89,811.125,853.669,618.278,0.33228734
2146.4197,1788.31,508.661,539.436,499.434,849.994,503.286,596.532,529.331,604.273,1062.96,517.851,529.138,814.019,2816.1,811.88,853.098,617.483,1.952074043
2147.4197,1787.91,508.516,539.622,499.456,850.501,503.587,597.258,529.334,603.485,1063.3,518.268,529.613,815.136,2815.55,812.73,851.774,616.98,1.793292322
2148.4197,1789.75,508.236,539.782,499.952,849.825,504.105,597.281,528.961,602.968,1063.03,518.197,530.15,814.54,2818.16,812.151,850.935,617.03,1.08008127
2149.4197,1792.08,507.96,539.885,500.641,848.446,504.478,596.779,528.424,602.913,1062.4,517.829,530.568,812.665,2820.93,810.834,850.59,617.763,-0.127208152
2150.4197,1791.48,507.883,540.084,500.98,847.725,504.415,596.7,528.026,603.311,1062.35,517.835,530.846,811.367,2818.56,810.532,850.15,618.733,-0.714690549
2151.4197,1787.51,508.091,540.286,500.808,848.114,503.916,597.414,527.829,603.861,1062.98,518.312,530.919,811.332,2811.25,811.452,849.577,619.335,-1.854332775
2152.4197,1784.46,508.491,540.013,500.565,848.622,503.443,598.359,527.51,603.965,1063.3,518.627,530.659,811.382,2806.14,811.849,849.526,619.291,2.902269874
2153.4197,1785.7,508.961,539.046,500.603,848.397,503.382,599.014,526.865,603.42,1062.6,518.392,530.103,810.598,2807.87,810.546,850.379,618.598,1.120045661
2154.4197,1789.11,509.315,538.395,500.672,847.735,503.628,599.363,526.347,603.078,1061.24,518.192,529.853,809.863,2811.44,808.668,851.462,617.504,1.738130746
2155.4197,1791.25,509.362,539.261,500.41,847.201,503.958,599.515,526.525,603.757,1059.8,518.706,530.51,810.421,2810.66,807.679,851.95,616.774,1.540318145
2156.4197,1791.03,509.086,541.054,500.04,846.951,504.258,599.463,527.214,604.754,1058.72,519.595,531.526,811.996,2807.52,807.764,851.693,617.072,-0.00883447
2157.4197,1789.04,508.594,541.93,500.194,846.857,504.498,599.117,527.705,604.731,1058.33,519.958,531.724,813.248,2808.52,808.378,850.925,618.146,2.660706792
2158.4197,1786.51,508.018,541.194,500.967,846.86,504.67,598.573,527.654,603.643,1058.69,519.525,530.83,813.377,2814.73,809.018,850.106,619.419,0.57310138
2159.4197,1785.75,507.524,540.22,501.497,847.043,504.805,598.252,527.389,602.924,1059.46,518.928,529.861,812.573,2819.47,809.248,850.011,620.349,2.016429833
2160.4197,1788.2,507.275,540.244,501.09,847.466,504.916,598.457,527.253,603.477,1060.23,518.72,529.661,811.189,2817.45,808.765,851.014,620.427,-0.456652249
2161.4197,1790.57,507.389,540.823,500.353,848.021,504.925,598.754,527.336,604.414,1060.53,518.889,530.06,809.86,2810.78,807.762,851.886,619.47,0.348520473
2162.4197,1788.54,507.943,541.063,500.226,848.54,504.738,598.535,527.645,604.667,1059.91,519.277,530.659,809.263,2803.2,806.561,851.21,618.039,3.155917148
2163.4197,1783.45,508.651,540.92,500.754,848.645,504.467,597.96,528.006,604.399,1058.85,519.609,531.156,809.405,2797.31,805.693,849.618,616.77,0.829910784
2164.4197,1781.11,508.94,541.016,501.284,847.803,504.387,597.783,528.111,604.375,1058.43,519.539,531.314,809.77,2794.97,805.802,849.02,616.11,1.478276988
2165.4197,1784.12,508.591,541.497,501.469,846.139,504.599,598.333,527.861,604.768,1059.08,519.036,531.079,809.979,2796.6,806.655,849.991,616.403,1.02986718
2166.4197,1788.54,508.097,541.552,501.601,845.075,504.858,599.068,527.578,604.998,1060.29,518.567,530.693,809.954,2800.38,806.64,850.994,617.39,1.703428329
2167.4197,1790.41,507.931,540.533,501.951,845.727,504.913,599.495,527.556,604.743,1061.43,518.524,530.392,809.683,2804.2,804.655,850.714,618.203,-1.277032253
2168.4197,1789.75,508.015,539.281,502.28,846.746,504.691,599.948,527.667,604.68,1061.6,518.838,530.287,809.321,2805.66,802.235,849.541,618.249,2.903404797
2169.4197,1787.9,508.094,539.066,502.203,846.097,504.19,600.98,527.649,605.555,1059.99,519.309,530.438,809.077,2802.6,801.442,848.28,617.708,0.724817087
2170.4197,1785.97,508.086,539.958,501.783,844.173,503.67,602.249,527.417,606.865,1057.28,519.669,530.646,809.085,2797.48,802.293,847.416,616.898,1.27775582
2171.4197,1784.88,508.058,541.001,501.461,843.44,503.612,602.645,527.033,607.446,1055.25,519.609,530.541,809.413,2795.89,803.403,847.207,616.271,1.598430473
2172.4197,1784.89,508.063,541.531,501.506,845.047,504.114,601.754,526.683,607.11,1054.75,519.119,530.054,809.923,2799.3,803.786,847.689,616.315,0.594104579
2173.4197,1784.93,508.114,541.583,501.773,847.178,504.449,600.703,526.802,607.017,1055.1,518.696,529.634,810.044,2802.06,803.177,848.524,616.92,-0.068113234
2174.4197,1784.11,508.214,541.306,502.08,847.986,503.986,600.56,527.704,607.96,1055.63,518.72,529.654,809.308,2799.5,801.648,849.353,617.325,0.862062843
2175.4197,1783.57,508.3,540.967,502.315,847.657,503.3,600.894,528.773,609.107,1056.27,518.817,529.913,808.182,2794.67,800.496,849.877,617.071,0.198997431
2176.4197,1785.05,508.298,540.863,502.398,847.091,503.349,600.773,529.103,609.379,1057.1,518.448,530.071,807.446,2792.47,801.19,849.845,616.624,0.918963653
2177.4197,1788.02,508.29,540.988,502.421,846.606,504.049,600.185,528.673,608.915,1058.11,517.743,530.091,807.28,2793.16,802.8,849.436,616.546,0.978206249
2178.4197,1789.81,508.507,541.058,502.627,845.986,504.354,599.962,528.277,608.56,1059.16,517.322,530.159,807.318,2793.51,802.632,849.148,616.912,0.823658349
2179.4197,1788.93,509.051,540.9,503.072,845.221,503.805,600.536,528.311,608.683,1059.87,517.503,530.324,807.363,2792.12,799.877,849.251,617.557,0.885129603
2180.4197,1786.76,509.718,540.609,503.371,844.809,503.361,601.341,528.198,608.941,1059.41,518.024,530.381,807.664,2790.89,797.222,849.598,618.119,2.887772258
2181.4197,1784.95,510.277,540.334,503.179,845.198,503.931,601.804,527.411,609.006,1057.26,518.598,530.179,808.418,2791.41,797.042,849.959,618.002,2.000276753
2182.4197,1784.25,510.619,540.295,502.816,846.076,504.86,602.178,526.587,608.808,1054.85,519.092,529.986,809.11,2791.8,798.397,849.922,617.031,0.35665368
2183.4197,1785.04,510.678,540.721,502.829,846.846,504.938,602.995,526.76,608.349,1054.03,519.421,530.16,808.989,2789.4,799.422,849.077,616.303,2.381306179
2184.4197,1786.82,510.383,541.365,503.154,847.143,504.174,603.986,527.71,607.751,1054.72,519.472,530.523,808.133,2785.67,799.546,847.864,616.939,1.546009802
2185.4197,1788.22,509.653,541.525,503.13,846.837,503.755,604.099,528.004,607.206,1055.31,519.112,530.483,807.429,2785.17,799.207,847.379,618.272,-0.12565801
2186.4197,1788.41,508.626,540.889,502.462,846.059,504.286,602.971,527.038,606.775,1055.1,518.433,529.877,807.437,2789.36,798.824,848.146,618.777,1.75645909
2187.4197,1788.01,507.961,540.14,501.803,845.56,504.856,601.976,526.337,606.311,1055.19,517.951,529.386,807.858,2793.52,798.734,849.566,617.944,-0.030038547
2188.4197,1787.71,508.233,539.968,501.797,845.998,504.551,602.445,527.349,605.747,1056.45,518.097,529.586,808.259,2793.39,799.1,850.969,616.495,1.373898663
2189.4197,1787.52,508.95,540.15,502.122,846.826,503.935,603.741,528.931,605.384,1057.62,518.607,530.041,808.182,2790.61,799.238,851.995,615.23,0.739387219
2190.4197,1787.14,509.219,540.11,502.097,847.042,504.123,604.464,528.976,605.554,1056.93,519.019,530.038,807.191,2788.52,798.262,852.386,614.948,1.116943838
2191.4197,1786.17,508.883,539.725,501.686,846.489,505.069,604.212,527.429,605.894,1054.84,519.232,529.605,805.766,2787.8,796.355,851.935,616.257,1.32145943
2192.4197,1784.07,508.53,539.324,501.515,845.862,505.559,603.589,526.309,605.604,1053.66,519.433,529.368,805.297,2786.95,794.565,850.483,618.086,0.834145313
2193.4197,1781.04,508.505,539.187,501.895,845.679,504.919,603.065,526.827,604.655,1054.3,519.661,529.62,806.407,2785.23,793.519,848.353,618.545,2.618745387
2194.4197,1779.11,508.476,539.417,502.291,845.921,503.942,602.68,527.964,604.248,1054.84,519.648,529.978,807.696,2783.39,792.974,846.813,617.305,1.682806171
2195.4197,1780.12,508.093,540.03,502.144,846.422,503.53,602.432,528.498,605.203,1053.71,519.202,530.055,807.719,2782.28,792.704,846.937,615.998,0.124574108
2196.4197,1782.62,507.615,540.658,501.627,846.569,503.77,602.505,528.158,606.358,1052.69,518.708,529.87,806.827,2782.1,793.105,848.194,615.853,2.181178328
2197.4197,1783.9,507.535,540.788,501.207,845.613,504.404,603.142,527.085,606.202,1054.46,518.707,529.585,806.091,2782.83,794.696,849.554,616.446,1.908900027
2198.4197,1783.69,507.854,540.364,501.077,844.019,505.009,604.134,525.853,605.08,1057.93,519.128,529.461,805.81,2783.81,796.721,850.463,617.071,0.994578453
2199.4197,1784.22,508.068,539.794,501.144,843.496,504.996,604.806,525.475,604.537,1058.92,519.395,529.841,805.489,2783.87,797.377,850.757,617.46,0.135220919
2200.4197,1786.6,507.922,539.495,501.294,844.911,504.173,604.757,526.393,605.075,1055.72,519.198,530.641,805.001,2782.52,795.952,850.465,617.575,1.910800322
2201.4197,1788.77,507.842,539.842,501.378,846.857,503.376,604.33,527.553,605.501,1051.66,518.788,530.914,805.239,2780.66,793.963,849.978,617.468,0.999012917
2202.4197,1788.64,508.263,541.049,501.271,847.772,503.449,603.978,527.872,604.918,1050.05,518.468,529.92,806.951,2779.45,792.902,849.694,617.301,2.188946743
2203.4197,1787.25,508.956,542.251,501.019,847.455,504.192,604.087,527.655,604.25,1051,518.473,528.543,808.792,2780.44,792.709,849.834,617.26,0.247757915
2204.4197,1786.88,509.421,542.187,500.746,846.295,504.977,604.988,527.759,604.754,1053.5,518.981,528.125,808.624,2785.06,792.834,850.526,617.58,-0.655263931
